BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
368491,new:---,annetterego,birt,reportviewer,3.7,pc,windows xp,P3,normal,birtreportviewer,0
368504,new:---,brucemisingname,birt,reportviewer,uns,pc,windows 7,P3,enhancement,birtreportviewer,0
368636,new:---,paulsmith,birt,reportviewer,uns,pc,windows 7,P3,normal,birtreportviewer,0
368654,new:---,alessiopollero,birt,reportengine,uns,pc,windows 7,P3,major,birtreportengineinbox,0
368682,resolved:fixed,alessiopollero,birt,reportdesigner,uns,pc,windows 7,P3,normal,dazhenggao,1
368859,resolved:worksforme,seanadkinson,birt,reportengine,2.6,all,all,P3,normal,birtreportengineinbox,0
368904,resolved:worksforme,arunpjohny,birt,reportengine,uns,pc,windows 7,P3,major,birtreportengineinbox,0
368952,closed:invalid,vijatantyadav,birt,chart,uns,all,windows server 2008,P3,critical,birtchartinbox,0
368960,closed:duplicate,adrianregan,birt,reportdesigner,uns,pc,windows 7,P3,critical,birtreportdesigner,0
369022,resolved:worksforme,muralikrishnand,birt,reportengine,2.6,pc,windows 7,P3,critical,birtreportengineinbox,0
369027,closed:wontfix,udayadas,birt,build,uns,pc,linux,P3,blocker,birtbuild,1
369166,resolved:invalid,shahidali,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,1
369172,verified:worksforme,madhavsuram,birt,data,2.6,all,all,P3,major,zhiqiangqian,1
369218,resolved:worksforme,deepakbatra,birt,reportdesigner,uns,pc,mac os x - carbon (unsup.),P3,critical,birtreportdesigner,0
369267,closed:duplicate,rodmacdonald,birt,dataaccess,3.7,pc,linux,P3,normal,lindachan,1
369309,resolved:fixed,lindachan,birt,dataaccess,3.7,pc,all,P3,normal,lindachan,1
369429,new:---,lehellidu,birt,reportengine,3.7,pc,windows server 2003,P3,normal,birtreportengineinbox,0
369486,resolved:fixed,ta,birt,reportengine,uns,pc,windows 7,P3,major,pshi,1
369567,new:---,alessiopollero,birt,reportengine,uns,pc,windows 7,P3,major,birtreportengineinbox,0
369597,resolved:worksforme,alessiopollero,birt,reportengine,uns,pc,mac os x - carbon (unsup.),P3,normal,birtreportengineinbox,0
369625,closed:duplicate,alessiopollero,birt,report,uns,pc,windows 7,P3,normal,birtreportinbox,1
369865,resolved:worksforme,roblaprelle,birt,data,uns,pc,windows xp,P3,major,birtdatainbox,0
369889,resolved:worksforme,chrisgenly,birt,chart,3.7,pc,windows 7,P3,normal,birtchartinbox,0
370096,verified:fixed,henningvonbargen,birt,reportengine,uns,pc,windows xp,P3,normal,ruoyin,1
370176,new:---,robertbredlau,birt,reportengine,2.6,all,all,P3,normal,birtreportengineinbox,0
370208,new:---,s^s,birt,reportviewer,uns,pc,linux,P3,critical,birtreportviewer,0
370233,closed:duplicate,alfredwynn,birt,reportdesigner,3.7,pc,windows 7,P3,major,birtreportdesigner,1
370289,resolved:worksforme,lonelywolf,birt,reportengine,uns,pc,linux,P3,critical,birtreportengineinbox,1
370452,resolved:fixed,andystevens,birt,reportdesigner,uns,pc,windows xp,P3,normal,zhiqiangqian,1
370520,resolved:invalid,vishwanathayyanath,birt,build,uns,pc,windows 7,P3,normal,birtbuild,0
370531,resolved:worksforme,marcussvensson,birt,chart,uns,pc,all,P3,major,birtchartinbox,0
370602,resolved:fixed,paulclenahan,birt,build,4.2,pc,windows 7,P3,normal,xiaoyinggu,1
370618,resolved:worksforme,yaohuixu,birt,reportviewer,2.6,pc,windows 7,P3,major,birtreportviewer,0
