CHG_PROJECT,CHG_COMPONENT,CHG_VERSION,CHG_HW,CHG_OS,CHG_PRIORITY,CHG_SEVERITY,CHG_ASSIGNEE,BUG_ID,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE
0,0,0,0,0,0,0,0,323782,borisstepanov,birt,chart,uns,pc,windowsvista,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,324070,xiaoxiaowu,birt,data,2.5,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,324122,russtennant,birt,reportengine,2.5,pc,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,324123,russtennant,birt,reportengine,2.5,pc,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,324546,yapsokann,birt,reportengine,uns,pc,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,324802,jamesstoddard,birt,reportdesigner,uns,pc,linux,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,324827,subbarao,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,324860,jasonweathersby,birt,reportengine,2.6,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,325240,robertawesso,birt,reportengine,2.3,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,325373,diyfan,birt,reportengine,2.6,pc,windowsxp,P3,critical,birtreportengineinbox
0,0,0,0,0,0,0,0,325672,samellis,birt,reportdesigner,uns,macintosh,macosx,P3,major,birtreportdesignerinbox
0,0,0,0,0,0,0,0,325764,diyfan,birt,reportengine,2.6,pc,windowsxp,P3,enhancement,birtreportengineinbox
0,0,0,0,0,0,0,0,325769,donbergstrom,birt,reportviewer,2.5,pc,windowsserver2003,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,325880,gareysmiley,birt,chart,2.6,pc,windowsxp,P3,major,birtchartinbox
0,0,0,0,0,0,0,0,325914,vivek,birt,reportengine,uns,all,all,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,326271,ingo,birt,reportengine,2.5,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,326295,andreisohryn,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,326500,bharath,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,326543,michaelfroeschen,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,326586,duongnguyen,birt,build,2.6,pc,windowsxp,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,326616,vivek,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,326789,chrischubb,birt,reportengine,2.5,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,326893,dawton,birt,reportdesigner,uns,pc,windows7,P3,critical,birtreportdesignerinbox
0,0,0,0,0,0,0,0,327179,monika,birt,reportengine,2.6,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,327420,yongjiang,birt,reportdesigner,2.6,pc,windowsxp,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,327847,missingname,birt,documentation,uns,pc,windowsxp,P3,normal,birtdocumentation
0,0,0,0,0,0,0,0,328132,mikefox,birt,reportdesigner,uns,pc,windowsxp,P3,enhancement,birtreportdesignerinbox
0,0,0,0,0,0,0,0,328221,aarondigulla,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,328370,chengyeelin,birt,reportviewer,2.6,pc,windowsxp,P3,normal,birtreportviewer
0,1,1,0,0,0,0,1,328514,byronpalmer,birt,reportengine,2.6,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,328869,caseycrockett,birt,reportviewer,2.6,pc,windows7,P3,minor,birtreportviewerinbox
0,0,0,0,0,0,0,0,328982,jsmisingname,birt,reportengine,2.6,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,329339,mikkelandersen,birt,data,uns,pc,windows7,P3,enhancement,birtdatainbox
0,0,0,0,0,0,0,0,329535,renespalt,birt,chart,2.6,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,330077,janlerby,birt,reportviewer,uns,pc,all,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,330144,markmisingname,birt,reportengine,uns,pc,windows7,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,330326,dirkgabler,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,330544,dmitrybalzer,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,330586,l30thelion,birt,reportengine,2.3,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,330805,håkaneriksson,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,330993,helmutneubauer,birt,reportdesigner,2.6,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,330996,pp,birt,reportengine,uns,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,331032,markmescher,birt,reportdesigner,2.6,pc,windowsvista,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,331089,haifengluo,birt,converters,uns,pc,windowsxp,P3,normal,birtconverterinbox
0,0,0,0,0,0,0,0,331128,bozierjerome,birt,build,uns,pc,windowsxp,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,331333,dmitrybalzer,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,331504,missingnamemisingname,birt,chart,uns,pc,windowsxp,P3,major,birtchartinbox
0,0,0,0,0,0,0,0,331541,jasonweathersby,birt,reportengine,2.6,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,331642,martijncremer,birt,data,uns,pc,all,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,331713,jasonweathersby,birt,reportengine,2.6,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,331994,joan,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,332084,jamesyzhu,birt,reportengine,2.6,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,332276,xiaoyinggu,birt,build,uns,pc,windows7,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,332329,robtruban,birt,chart,2.6,pc,windowsxp,P3,major,birtchartinbox
0,0,0,0,0,0,0,0,332390,sudeshbulathsinhala,rap,rwt,uns,pc,windows7,P3,normal,rapw4tinbox
0,0,0,0,0,0,0,0,332462,cdowoodmisingname,birt,reportviewer,uns,pc,windowsxp,P3,normal,birtreportviewer
0,0,0,0,0,0,0,1,332548,chengyeelin,birt,build,uns,pc,windowsxp,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,332550,chengyeelin,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,332753,pp,birt,reportengine,uns,pc,windows7,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,332815,lionelpj,birt,reportviewer,uns,pc,windowsxp,P3,critical,birtreportviewer
0,0,0,0,0,0,0,0,332863,dmitrybalzer,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,333095,janlerby,birt,reportengine,uns,all,all,P3,enhancement,birtreportengineinbox
0,0,0,0,0,0,0,0,333099,dmtran,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,333266,marco,birt,reportengine,uns,pc,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,333344,ashokkumar,birt,reportviewer,uns,pc,windowsxp,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,333511,brettpalmer,birt,reportengine,uns,pc,linux,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,333770,ashokkumar,birt,reportviewer,2.3,pc,windowsxp,P3,major,birtreportviewerinbox
0,0,0,0,0,0,0,0,333817,rickymisingname,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,333860,thomasküstermann,birt,reportengine,uns,pc,windowsvista,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,333931,celeraman+,birt,reportviewer,uns,pc,windows7,P3,normal,birtreportviewer
0,0,0,0,0,0,0,0,334326,mihailmihaylov,birt,testsuite,uns,all,all,P3,enhancement,birttestsuiteinbox
0,0,0,0,0,0,0,0,334406,ingo,birt,reportengine,2.6,pc,windowsxp,P3,minor,birtreportengineinbox
0,0,0,0,0,0,0,0,334410,thomasküstermann,birt,reportengine,uns,pc,windowsvista,P3,trivial,birtreportengineinbox
0,0,0,0,0,0,0,0,334578,alexh572000,birt,reportengine,2.6,pc,windowsxp,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,335732,vivek,birt,reportengine,uns,all,all,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,335850,tim,birt,reportengine,2.5,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,335936,edslocombe,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,335971,sushma,birt,reportdesigner,uns,pc,windowsxp,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,336767,jasonweathersby,birt,reportviewer,2.6,pc,windows7,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,336796,dmitrybalzer,birt,reportengine,uns,pc,windowsvista,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,337084,masayukifuse,birt,chart,uns,pc,windows7,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,337526,adwehus,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,337845,paulwebster,birt,build,4,pc,linux,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,338491,michaelvorburger,birt,reportengine,2.5,pc,macosxcarbon(unsup.),P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,338588,harshdhulia88,birt,reportengine,uns,pc,windowsvista,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,338687,joel,birt,reportengine,uns,pc,windowsxp,P3,critical,birtreportengineinbox
0,0,0,0,0,0,0,0,339186,lpizarro,birt,reportengine,2.6,pc,windowsxp,P3,critical,birtreportengineinbox
0,0,0,0,0,0,0,0,339262,christian,birt,reportdesigner,2.5,pc,windowsxp,P3,minor,birtreportdesignerinbox
0,0,0,0,0,0,0,0,339275,logan,birt,reportengine,2.6,pc,linux,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,339446,scotthamilton,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,339736,ghislaingadbois,birt,reportengine,2.6,all,all,P3,enhancement,birtreportengineinbox
0,0,0,0,0,0,0,0,339858,fkiekhaefer,birt,data,uns,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,339960,paulclenahan,birt,data,2.6,pc,windows7,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,340109,scotthamilton,birt,reportengine,2.6,all,all,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,340111,scotthamilton,birt,reportengine,2.6,all,all,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,340560,dmitrybalzer,birt,reportdesigner,uns,pc,windowsxp,P3,critical,birtreportdesignerinbox
0,0,0,0,0,0,0,0,340628,silvestrpeknik,birt,data,2.6,pc,windowsxp,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,340767,nicolaslecroart,birt,reportengine,2.6,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,340823,ihorstrutynskyj,birt,reportdesigner,uns,pc,windows7,P3,critical,birtreportdesignerinbox
0,0,0,0,0,0,0,0,341023,vivek,birt,reportviewer,uns,all,all,P3,major,birtreportviewer
0,0,0,0,0,0,0,0,341071,subbarao,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,341256,pico,birt,reportengine,uns,pc,windowsxp,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,341356,penelopeconstanta,birt,reportviewer,2.6,all,linux,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,341425,markvictory,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,341461,mrx,birt,chart,uns,pc,windowsxp,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,341855,peterhancox,birt,reportengine,uns,pc,windows7,P3,normal,birtreportengineinbox
0,0,0,0,0,0,0,0,341997,missingname,birt,reportengine,2.6,pc,windows7,P3,minor,birtreportengineinbox
0,1,0,0,0,0,0,1,342623,michael,birt,reportdesigner,uns,pc,windows7,P3,major,birtreportdesignerinbox
0,0,0,0,0,0,0,0,342699,thierrythierry,birt,data,uns,all,all,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,343695,xiaoyinggu,birt,build,uns,pc,windows7,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,343741,raghunadhmadamanchi,birt,reportviewer,uns,pc,windowsxp,P3,normal,birtreportviewerinbox
